meter_id,locality,feeder_id,category,lat,lon,flag_status,confidence_score,anomaly_type,explanation_text,shap_top_feature_1,shap_top_feature_2,shap_top_feature_3,days_anomalous,personal_baseline_kwh,peer_baseline_kwh,deviation_pct
MET_001,Jayanagar,F01,Industrial,12.92621886831902,77.58964006357505,FLAGGED,100,FEEDER_LOSS,Meter MET_001 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,rolling_mean_24h,28,1.4403104957050055,1.4403104957050057,-1.5416440106988496e-14
MET_002,Jayanagar,F01,Residential,12.928001804783229,77.59756225886557,NORMAL,50,NORMAL,Meter MET_002 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,32,0.415763509952832,0.415763509952832,0.0
MET_003,Jayanagar,F01,Residential,12.917195859245384,77.58859128197255,FLAGGED,100,FEEDER_LOSS,Meter MET_003 flagged: stages IF/peer/feeder = 1/1/1. Personal baseline ~0.34 kWh/interval vs peer cluster ~0.34 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,rolling_mean_24h,day_of_week,14,0.33681956855767486,0.33681956855767486,0.0
MET_004,Jayanagar,F01,Commercial,12.92551136161267,77.59253502963062,FLAGGED,100,FEEDER_LOSS,Meter MET_004 flagged: stages IF/peer/feeder = 0/1/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_mean_24h,consumption_kwh,rolling_std_7d,27,0.4236670616693394,0.4236670616693394,0.0
MET_005,Jayanagar,F01,Residential,12.924932795369983,77.5903878242897,NORMAL,50,NORMAL,Meter MET_005 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,17,0.415991911323691,0.415991911323691,0.0
MET_006,Jayanagar,F01,Residential,12.928517591899451,77.59691116774172,NORMAL,50,NORMAL,Meter MET_006 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,25,0.4155167622452852,0.41551676224528517,1.3359545576765166e-14
MET_007,Jayanagar,F01,Commercial,12.925264122790246,77.59830896482788,FLAGGED,100,FEEDER_LOSS,Meter MET_007 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,40,0.5517692344370256,0.5517692344370256,0.0
MET_008,Jayanagar,F01,Industrial,12.926870037369008,77.59036283014846,FLAGGED,100,FEEDER_LOSS,Meter MET_008 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,rolling_mean_24h,26,1.4412533152419698,1.4412533152419698,0.0
MET_009,Jayanagar,F01,Residential,12.92647500313633,77.58996446959668,NORMAL,50,NORMAL,Meter MET_009 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,35,0.4158807094992502,0.4158807094992502,0.0
MET_010,Jayanagar,F01,Commercial,12.928513801205227,77.59360029635606,FLAGGED,100,FEEDER_LOSS,Meter MET_010 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,40,0.5517774654701048,0.5517774654701048,0.0
MET_011,Jayanagar,F01,Residential,12.92426055054582,77.59107628182238,NORMAL,50,NORMAL,Meter MET_011 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,19,0.415408788754904,0.415408788754904,0.0
MET_012,Jayanagar,F01,Residential,12.929890165354696,77.59318188207173,NORMAL,50,NORMAL,Meter MET_012 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,24,0.4163041723249661,0.4163041723249661,0.0
MET_013,Jayanagar,F01,Commercial,12.923286688711348,77.59239146579804,FLAGGED,100,FEEDER_LOSS,Meter MET_013 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,consumption_kwh,hour_of_day,36,0.5512295826662928,0.5512295826662928,0.0
MET_014,Jayanagar,F01,Residential,12.927129236742214,77.59526177625746,FLAGGED,100,FEEDER_LOSS,Meter MET_014 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,rolling_mean_24h,20,0.4156300000479144,0.41563000004791434,1.3355905787565487e-14
MET_015,Jayanagar,F01,Industrial,12.926650930446383,77.59552328401203,FLAGGED,100,FEEDER_LOSS,Meter MET_015 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_mean_24h,rolling_std_7d,27,1.4406209747733645,1.4406209747733645,0.0
MET_016,Jayanagar,F01,Commercial,12.933566590403483,77.59217433993446,FLAGGED,100,FEEDER_LOSS,Meter MET_016 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,consumption_kwh,z_personal,37,0.5514942506964949,0.5514942506964949,0.0
MET_017,Jayanagar,F01,Residential,12.922951029083714,77.59054490908701,NORMAL,50,NORMAL,Meter MET_017 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,22,0.41544464459235475,0.41544464459235475,0.0
